trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,touch,hand,1,1430315991,-0.1219,5.3781,10,34,10,12,17.37812,17.37812,19.37812,27.37812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,grasp,hand,1,1430315991,-0.2167,5.2833,6,18,27.37812,29.37812,34.661402,34.661402,36.661402,44.661402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,grasp,hand,1,1430315991,-0.2373,5.2627,6,18,44.661402,46.661402,51.924094,51.924094,53.924094,61.924094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,grasp,hand,1,1430315991,0.18,5.68,6,18,61.924094,63.924094,69.604077,69.604077,71.604077,79.604077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,touch,hand,1,1430315991,-0.1242,5.3758,10,34,79.604077,81.604077,86.979846,86.979846,88.979846,96.979846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,grasp,hand,1,1430315991,0.2222,5.7222,6,18,96.979846,98.979846,104.702014,104.702014,106.702014,114.702014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,touch,hand,1,1430315991,-0.0391,5.4609,10,34,114.702014,116.702014,122.162915,122.162915,124.162915,132.162915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,touch,hand,1,1430315991,0.1884,5.6884,10,34,132.162915,134.162915,139.851271,139.851271,141.851271,149.851271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,grasp,hand,1,1430315991,-0.0276,5.4724,6,18,149.851271,151.851271,157.323719,157.323719,159.323719,167.323719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,grasp,hand,1,1430315991,-0.0915,5.4085,6,18,167.323719,169.323719,174.732197,174.732197,176.732197,184.732197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,touch,hand,1,1430315991,-0.3237,5.1763,10,34,184.732197,186.732197,191.90854,191.90854,193.90854,201.90854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,grasp,hand,1,1430315991,0.0505,5.5505,6,18,201.90854,203.90854,209.459061,209.459061,211.459061,219.459061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,touch,hand,1,1430315991,-0.2672,5.2328,10,34,219.459061,221.459061,226.691813,226.691813,228.691813,236.691813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,touch,hand,1,1430315991,0.2193,5.7193,10,34,236.691813,238.691813,244.411067,244.411067,246.411067,254.411067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,grasp,hand,1,1430315991,0.3006,5.8006,6,18,254.411067,256.411067,262.21167,262.21167,264.21167,272.21167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,touch,hand,1,1430315991,0.0375,5.5375,10,34,272.21167,274.21167,279.749136,279.749136,281.749136,289.749136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,touch,hand,1,1430315991,0.1053,5.6053,10,34,289.749136,291.749136,297.354452,297.354452,299.354452,307.354452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,grasp,hand,1,1430315991,-0.4795,5.0205,6,18,307.354452,309.354452,314.374978,314.374978,316.374978,324.374978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,touch,hand,1,1430315991,-0.4565,5.0435,10,34,324.374978,326.374978,331.418449,331.418449,333.418449,341.418449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,grasp,hand,1,1430315991,-0.0189,5.4811,6,18,341.418449,343.418449,348.899576,348.899576,350.899576,358.899576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
