trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,grasp,hand,1,1338143491,0.2503,5.7503,11,21,10,12,17.750284,17.750284,19.750284,27.750284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,touch,hand,1,1338143491,-0.4217,5.0783,12,22,27.750284,29.750284,34.828547,34.828547,36.828547,44.828547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,grasp,hand,1,1338143491,-0.1247,5.3753,11,21,44.828547,46.828547,52.20389,52.20389,54.20389,62.20389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,touch,hand,1,1338143491,-0.1806,5.3194,12,22,62.20389,64.20389,69.523245,69.523245,71.523245,79.523245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,grasp,hand,1,1338143491,0.4758,5.9758,11,21,79.523245,81.523245,87.499048,87.499048,89.499048,97.499048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,grasp,hand,1,1338143491,-0.4765,5.0235,11,21,97.499048,99.499048,104.522554,104.522554,106.522554,114.522554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,grasp,hand,1,1338143491,-0.4153,5.0847,11,21,114.522554,116.522554,121.607275,121.607275,123.607275,131.607275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,touch,hand,1,1338143491,-0.0482,5.4518,12,22,131.607275,133.607275,139.059039,139.059039,141.059039,149.059039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,touch,hand,1,1338143491,0.3516,5.8516,12,22,149.059039,151.059039,156.910596,156.910596,158.910596,166.910596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,touch,hand,1,1338143491,0.085,5.585,12,22,166.910596,168.910596,174.49564,174.49564,176.49564,184.49564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,grasp,hand,1,1338143491,0.2118,5.7118,11,21,184.49564,186.49564,192.207402,192.207402,194.207402,202.207402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,grasp,hand,1,1338143491,0.014,5.514,11,21,202.207402,204.207402,209.721381,209.721381,211.721381,219.721381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,touch,hand,1,1338143491,-0.3065,5.1935,12,22,219.721381,221.721381,226.914851,226.914851,228.914851,236.914851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,grasp,hand,1,1338143491,-0.2733,5.2267,11,21,236.914851,238.914851,244.14155,244.14155,246.14155,254.14155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,touch,hand,1,1338143491,-0.3762,5.1238,12,22,254.14155,256.14155,261.265388,261.265388,263.265388,271.265388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,touch,hand,1,1338143491,0.3227,5.8227,12,22,271.265388,273.265388,279.08811,279.08811,281.08811,289.08811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,grasp,hand,1,1338143491,0.0265,5.5265,11,21,289.08811,291.08811,296.614634,296.614634,298.614634,306.614634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,grasp,hand,1,1338143491,0.43,5.93,11,21,306.614634,308.614634,314.544588,314.544588,316.544588,324.544588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,touch,hand,1,1338143491,0.0033,5.5033,12,22,324.544588,326.544588,332.047894,332.047894,334.047894,342.047894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,grasp,hand,1,1338143491,0.4888,5.9888,11,21,342.047894,344.047894,350.036707,350.036707,352.036707,360.036707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,touch,hand,1,1338143491,-0.1777,5.3223,12,22,360.036707,362.036707,367.358984,367.358984,369.358984,377.358984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,touch,hand,1,1338143491,-0.3294,5.1706,12,22,377.358984,379.358984,384.529614,384.529614,386.529614,394.529614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,grasp,hand,1,1338143491,-0.1604,5.3396,11,21,394.529614,396.529614,401.869207,401.869207,403.869207,411.869207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,touch,hand,1,1338143491,-0.4924,5.0076,12,22,411.869207,413.869207,418.876801,418.876801,420.876801,428.876801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,grasp,hand,1,1338143491,0.4972,5.9972,11,21,428.876801,430.876801,436.873985,436.873985,438.873985,446.873985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,touch,hand,1,1338143491,0.4982,5.9982,12,22,446.873985,448.873985,454.872159,454.872159,456.872159,464.872159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,touch,hand,1,1338143491,-0.2546,5.2454,12,22,464.872159,466.872159,472.117552,472.117552,474.117552,482.117552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,touch,hand,1,1338143491,-0.3609,5.1391,12,22,482.117552,484.117552,489.256649,489.256649,491.256649,499.256649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,grasp,hand,1,1338143491,0.2967,5.7967,11,21,499.256649,501.256649,507.053383,507.053383,509.053383,517.053383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,grasp,hand,1,1338143491,-0.4567,5.0433,11,21,517.053383,519.053383,524.096684,524.096684,526.096684,534.096684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,grasp,hand,1,1338143491,-0.3166,5.1834,11,21,534.096684,536.096684,541.280088,541.280088,543.280088,551.280088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,touch,hand,1,1338143491,-0.3462,5.1538,12,22,551.280088,553.280088,558.433867,558.433867,560.433867,568.433867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,grasp,hand,1,1338143491,-0.1775,5.3225,11,21,568.433867,570.433867,575.756415,575.756415,577.756415,585.756415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,touch,hand,1,1338143491,0.2388,5.7388,12,22,585.756415,587.756415,593.49526,593.49526,595.49526,603.49526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,touch,hand,1,1338143491,0.456,5.956,12,22,603.49526,605.49526,611.451254,611.451254,613.451254,621.451254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,grasp,hand,1,1338143491,0.1666,5.6666,11,21,621.451254,623.451254,629.117887,629.117887,631.117887,639.117887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,touch,hand,1,1338143491,-0.4876,5.0124,12,22,639.117887,641.117887,646.130297,646.130297,648.130297,656.130297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,touch,hand,1,1338143491,-0.0069,5.4931,12,22,656.130297,658.130297,663.623408,663.623408,665.623408,673.623408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,grasp,hand,1,1338143491,0.1298,5.6298,11,21,673.623408,675.623408,681.253228,681.253228,683.253228,691.253228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,grasp,hand,1,1338143491,-0.2079,5.2921,11,21,691.253228,693.253228,698.54534,698.54534,700.54534,708.54534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
