trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,grasp,hand,1,1430304526,-0.3669,5.1331,6,18,10,12,17.133051,17.133051,19.133051,27.133051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,grasp,hand,1,1430304526,0.3427,5.8427,6,18,27.133051,29.133051,34.975732,34.975732,36.975732,44.975732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,touch,hand,1,1430304526,-0.0213,5.4787,10,34,44.975732,46.975732,52.454463,52.454463,54.454463,62.454463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,touch,hand,1,1430304526,0.0812,5.5812,10,34,62.454463,64.454463,70.035677,70.035677,72.035677,80.035677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,grasp,hand,1,1430304526,0.3868,5.8868,6,18,80.035677,82.035677,87.922506,87.922506,89.922506,97.922506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,touch,hand,1,1430304526,-0.0659,5.4341,10,34,97.922506,99.922506,105.356572,105.356572,107.356572,115.356572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,touch,hand,1,1430304526,0.2378,5.7378,10,34,115.356572,117.356572,123.094333,123.094333,125.094333,133.094333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,grasp,hand,1,1430304526,0.2641,5.7641,6,18,133.094333,135.094333,140.858445,140.858445,142.858445,150.858445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,grasp,hand,1,1430304526,0.4958,5.9958,6,18,150.858445,152.858445,158.854274,158.854274,160.854274,168.854274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,grasp,hand,1,1430304526,0.4702,5.9702,6,18,168.854274,170.854274,176.824484,176.824484,178.824484,186.824484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,touch,hand,1,1430304526,-0.4034,5.0966,10,34,186.824484,188.824484,193.921038,193.921038,195.921038,203.921038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,touch,hand,1,1430304526,0.3398,5.8398,10,34,203.921038,205.921038,211.760797,211.760797,213.760797,221.760797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,grasp,hand,1,1430304526,-0.4729,5.0271,6,18,221.760797,223.760797,228.787912,228.787912,230.787912,238.787912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,grasp,hand,1,1430304526,0.2893,5.7893,6,18,238.787912,240.787912,246.577212,246.577212,248.577212,256.577212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,grasp,hand,1,1430304526,0.247,5.747,6,18,256.577212,258.577212,264.324221,264.324221,266.324221,274.324221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,touch,hand,1,1430304526,0.2817,5.7817,10,34,274.324221,276.324221,282.105876,282.105876,284.105876,292.105876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,grasp,hand,1,1430304526,0.2897,5.7897,6,18,292.105876,294.105876,299.895595,299.895595,301.895595,309.895595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,touch,hand,1,1430304526,-0.2129,5.2871,10,34,309.895595,311.895595,317.182742,317.182742,319.182742,327.182742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,touch,hand,1,1430304526,-0.4026,5.0974,10,34,327.182742,329.182742,334.280125,334.280125,336.280125,344.280125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,touch,hand,1,1430304526,-0.4455,5.0545,10,34,344.280125,346.280125,351.334589,351.334589,353.334589,361.334589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
