trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,touch,hand,1,1430317013,-0.4285,5.0715,10,34,10,12,17.071515,17.071515,19.071515,27.071515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,touch,hand,1,1430317013,-0.2349,5.2651,10,34,27.071515,29.071515,34.336651,34.336651,36.336651,44.336651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,touch,hand,1,1430317013,-0.016,5.484,10,34,44.336651,46.336651,51.820615,51.820615,53.820615,61.820615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,grasp,hand,1,1430317013,-0.3368,5.1632,6,18,61.820615,63.820615,68.983851,68.983851,70.983851,78.983851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,touch,hand,1,1430317013,-0.1127,5.3873,10,34,78.983851,80.983851,86.371111,86.371111,88.371111,96.371111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,grasp,hand,1,1430317013,0.3993,5.8993,6,18,96.371111,98.371111,104.270403,104.270403,106.270403,114.270403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,grasp,hand,1,1430317013,-0.4587,5.0413,6,18,114.270403,116.270403,121.31166,121.31166,123.31166,131.31166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,touch,hand,1,1430317013,-0.132,5.368,10,34,131.31166,133.31166,138.679629,138.679629,140.679629,148.679629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,grasp,hand,1,1430317013,-0.1103,5.3897,6,18,148.679629,150.679629,156.069336,156.069336,158.069336,166.069336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,grasp,hand,1,1430317013,0.4324,5.9324,6,18,166.069336,168.069336,174.001724,174.001724,176.001724,184.001724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,touch,hand,1,1430317013,-0.1792,5.3208,10,34,184.001724,186.001724,191.322505,191.322505,193.322505,201.322505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,grasp,hand,1,1430317013,-0.4886,5.0114,6,18,201.322505,203.322505,208.333905,208.333905,210.333905,218.333905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,touch,hand,1,1430317013,0.2326,5.7326,10,34,218.333905,220.333905,226.066474,226.066474,228.066474,236.066474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,grasp,hand,1,1430317013,0.4615,5.9615,6,18,236.066474,238.066474,244.027948,244.027948,246.027948,254.027948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,grasp,hand,1,1430317013,0.0788,5.5788,6,18,254.027948,256.027948,261.606755,261.606755,263.606755,271.606755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,touch,hand,1,1430317013,-0.3498,5.1502,10,34,271.606755,273.606755,278.756976,278.756976,280.756976,288.756976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,touch,hand,1,1430317013,-0.3709,5.1291,10,34,288.756976,290.756976,295.886056,295.886056,297.886056,305.886056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,grasp,hand,1,1430317013,0.3639,5.8639,6,18,305.886056,307.886056,313.74991,313.74991,315.74991,323.74991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,touch,hand,1,1430317013,-0.3356,5.1644,10,34,323.74991,325.74991,330.914263,330.914263,332.914263,340.914263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,grasp,hand,1,1430317013,0.3731,5.8731,6,18,340.914263,342.914263,348.7874,348.7874,350.7874,358.7874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
