trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,touch,hand,1,1338123595,-0.0157,5.4843,12,22,10,12,17.484342,17.484342,19.484342,27.484342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,touch,hand,1,1338123595,0.4144,5.9144,12,22,27.484342,29.484342,35.398772,35.398772,37.398772,45.398772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,touch,hand,1,1338123595,-0.4114,5.0886,12,22,45.398772,47.398772,52.487372,52.487372,54.487372,62.487372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,grasp,hand,1,1338123595,0.4057,5.9057,11,21,62.487372,64.487372,70.393105,70.393105,72.393105,80.393105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,touch,hand,1,1338123595,-0.4903,5.0097,12,22,80.393105,82.393105,87.402849,87.402849,89.402849,97.402849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,grasp,hand,1,1338123595,-0.3916,5.1084,11,21,97.402849,99.402849,104.511293,104.511293,106.511293,114.511293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,touch,hand,1,1338123595,0.3233,5.8233,12,22,114.511293,116.511293,122.334603,122.334603,124.334603,132.334603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,grasp,hand,1,1338123595,-0.3749,5.1251,11,21,132.334603,134.334603,139.459675,139.459675,141.459675,149.459675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,grasp,hand,1,1338123595,0.2237,5.7237,11,21,149.459675,151.459675,157.18336,157.18336,159.18336,167.18336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,grasp,hand,1,1338123595,-0.3026,5.1974,11,21,167.18336,169.18336,174.380773,174.380773,176.380773,184.380773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,touch,hand,1,1338123595,-0.1848,5.3152,12,22,184.380773,186.380773,191.695989,191.695989,193.695989,201.695989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,touch,hand,1,1338123595,-0.1848,5.3152,12,22,201.695989,203.695989,209.011186,209.011186,211.011186,219.011186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,grasp,hand,1,1338123595,0.0217,5.5217,11,21,219.011186,221.011186,226.532896,226.532896,228.532896,236.532896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,touch,hand,1,1338123595,0.103,5.603,12,22,236.532896,238.532896,244.135923,244.135923,246.135923,254.135923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,grasp,hand,1,1338123595,-0.2206,5.2794,11,21,254.135923,256.135923,261.415336,261.415336,263.415336,271.415336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,touch,hand,1,1338123595,0.394,5.894,12,22,271.415336,273.415336,279.309344,279.309344,281.309344,289.309344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,grasp,hand,1,1338123595,-0.0027,5.4973,11,21,289.309344,291.309344,296.806666,296.806666,298.806666,306.806666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
