trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,grasp,hand,1,1436225490,0.3421,5.8421,6,18,10,12,17.842142,17.842142,19.842142,27.842142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,touch,hand,1,1436225490,0.4332,5.9332,10,34,27.842142,29.842142,35.775372,35.775372,37.775372,45.775372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,grasp,hand,1,1436225490,0.1391,5.6391,6,18,45.775372,47.775372,53.41444,53.41444,55.41444,63.41444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,touch,hand,1,1436225490,0.3699,5.8699,10,34,63.41444,65.41444,71.284328,71.284328,73.284328,81.284328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,grasp,hand,1,1436225490,0.3045,5.8045,6,18,81.284328,83.284328,89.088857,89.088857,91.088857,99.088857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,touch,hand,1,1436225490,0.0023,5.5023,10,34,99.088857,101.088857,106.591198,106.591198,108.591198,116.591198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,grasp,hand,1,1436225490,0.2911,5.7911,6,18,116.591198,118.591198,124.382276,124.382276,126.382276,134.382276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,grasp,hand,1,1436225490,0.3989,5.8989,6,18,134.382276,136.382276,142.281185,142.281185,144.281185,152.281185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,grasp,hand,1,1436225490,-0.3805,5.1195,6,18,152.281185,154.281185,159.400665,159.400665,161.400665,169.400665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,touch,hand,1,1436225490,-0.143,5.357,10,34,169.400665,171.400665,176.75766,176.75766,178.75766,186.75766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,touch,hand,1,1436225490,0.2434,5.7434,10,34,186.75766,188.75766,194.501051,194.501051,196.501051,204.501051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,grasp,hand,1,1436225490,0.3814,5.8814,6,18,204.501051,206.501051,212.382404,212.382404,214.382404,222.382404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,touch,hand,1,1436225490,-0.1642,5.3358,10,34,222.382404,224.382404,229.718208,229.718208,231.718208,239.718208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,touch,hand,1,1436225490,-0.2617,5.2383,10,34,239.718208,241.718208,246.956492,246.956492,248.956492,256.956492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,grasp,hand,1,1436225490,-0.152,5.348,6,18,256.956492,258.956492,264.304526,264.304526,266.304526,274.304526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,grasp,hand,1,1436225490,0.3818,5.8818,6,18,274.304526,276.304526,282.1863,282.1863,284.1863,292.1863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,touch,hand,1,1436225490,-0.0034,5.4966,10,34,292.1863,294.1863,299.682936,299.682936,301.682936,309.682936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,grasp,hand,1,1436225490,-0.3401,5.1599,6,18,309.682936,311.682936,316.842802,316.842802,318.842802,326.842802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,touch,hand,1,1436225490,0.4184,5.9184,10,34,326.842802,328.842802,334.761188,334.761188,336.761188,344.761188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,touch,hand,1,1436225490,-0.293,5.207,10,34,344.761188,346.761188,351.968213,351.968213,353.968213,361.968213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
