trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,touch,hand,1,1338192189,0.3953,5.8953,12,22,10,12,17.895258,17.895258,19.895258,27.895258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,touch,hand,1,1338192189,0.3153,5.8153,12,22,27.895258,29.895258,35.710539,35.710539,37.710539,45.710539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,touch,hand,1,1338192189,0.106,5.606,12,22,45.710539,47.710539,53.316572,53.316572,55.316572,63.316572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,grasp,hand,1,1338192189,-0.4602,5.0398,11,21,63.316572,65.316572,70.356338,70.356338,72.356338,80.356338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,grasp,hand,1,1338192189,-0.236,5.264,11,21,80.356338,82.356338,87.620296,87.620296,89.620296,97.620296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,touch,hand,1,1338192189,-0.1421,5.3579,12,22,97.620296,99.620296,104.978158,104.978158,106.978158,114.978158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,grasp,hand,1,1338192189,-0.4472,5.0528,11,21,114.978158,116.978158,122.030938,122.030938,124.030938,132.030938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,grasp,hand,1,1338192189,0.4258,5.9258,11,21,132.030938,134.030938,139.956698,139.956698,141.956698,149.956698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,grasp,hand,1,1338192189,0.3744,5.8744,11,21,149.956698,151.956698,157.831066,157.831066,159.831066,167.831066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,touch,hand,1,1338192189,-0.2146,5.2854,12,22,167.831066,169.831066,175.116514,175.116514,177.116514,185.116514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,grasp,hand,1,1338192189,0.0188,5.5188,11,21,185.116514,187.116514,192.635289,192.635289,194.635289,202.635289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,grasp,hand,1,1338192189,0.2836,5.7836,11,21,202.635289,204.635289,210.418906,210.418906,212.418906,220.418906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,grasp,hand,1,1338192189,-0.0106,5.4894,11,21,220.418906,222.418906,227.908261,227.908261,229.908261,237.908261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,touch,hand,1,1338192189,-0.3261,5.1739,12,22,237.908261,239.908261,245.082123,245.082123,247.082123,255.082123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,touch,hand,1,1338192189,0.2167,5.7167,12,22,255.082123,257.082123,262.798851,262.798851,264.798851,272.798851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,touch,hand,1,1338192189,0.0313,5.5313,12,22,272.798851,274.798851,280.330183,280.330183,282.330183,290.330183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,grasp,hand,1,1338192189,0.4252,5.9252,11,21,290.330183,292.330183,298.255364,298.255364,300.255364,308.255364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,touch,hand,1,1338192189,0.3078,5.8078,12,22,308.255364,310.255364,316.063124,316.063124,318.063124,326.063124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,touch,hand,1,1338192189,0.3688,5.8688,12,22,326.063124,328.063124,333.931925,333.931925,335.931925,343.931925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,grasp,hand,1,1338192189,0.4519,5.9519,11,21,343.931925,345.931925,351.883812,351.883812,353.883812,361.883812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,grasp,hand,1,1338192189,0.3123,5.8123,11,21,361.883812,363.883812,369.696106,369.696106,371.696106,379.696106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,touch,hand,1,1338192189,0.1008,5.6008,12,22,379.696106,381.696106,387.296872,387.296872,389.296872,397.296872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,touch,hand,1,1338192189,-0.3084,5.1916,12,22,397.296872,399.296872,404.488447,404.488447,406.488447,414.488447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,grasp,hand,1,1338192189,0.2664,5.7664,11,21,414.488447,416.488447,422.254853,422.254853,424.254853,432.254853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,grasp,hand,1,1338192189,-0.0015,5.4985,11,21,432.254853,434.254853,439.753372,439.753372,441.753372,449.753372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,grasp,hand,1,1338192189,-0.1867,5.3133,11,21,449.753372,451.753372,457.066672,457.066672,459.066672,467.066672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,touch,hand,1,1338192189,-0.1149,5.3851,12,22,467.066672,469.066672,474.451808,474.451808,476.451808,484.451808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,touch,hand,1,1338192189,-0.3227,5.1773,12,22,484.451808,486.451808,491.629084,491.629084,493.629084,501.629084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,grasp,hand,1,1338192189,0.0871,5.5871,11,21,501.629084,503.629084,509.21614,509.21614,511.21614,519.21614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,grasp,hand,1,1338192189,0.2166,5.7166,11,21,519.21614,521.21614,526.9327,526.9327,528.9327,536.9327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,touch,hand,1,1338192189,0.0211,5.5211,12,22,536.9327,538.9327,544.453799,544.453799,546.453799,554.453799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,touch,hand,1,1338192189,0.2692,5.7692,12,22,554.453799,556.453799,562.223019,562.223019,564.223019,572.223019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,touch,hand,1,1338192189,0.2471,5.7471,12,22,572.223019,574.223019,579.97008,579.97008,581.97008,589.97008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,grasp,hand,1,1338192189,0.4194,5.9194,11,21,589.97008,591.97008,597.889445,597.889445,599.889445,607.889445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,touch,hand,1,1338192189,-0.112,5.388,12,22,607.889445,609.889445,615.277461,615.277461,617.277461,625.277461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,touch,hand,1,1338192189,-0.4758,5.0242,12,22,625.277461,627.277461,632.301691,632.301691,634.301691,642.301691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,touch,hand,1,1338192189,0.3087,5.8087,12,22,642.301691,644.301691,650.110385,650.110385,652.110385,660.110385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,grasp,hand,1,1338192189,-0.4025,5.0975,11,21,660.110385,662.110385,667.207918,667.207918,669.207918,677.207918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,grasp,hand,1,1338192189,0.2984,5.7984,11,21,677.207918,679.207918,685.006311,685.006311,687.006311,695.006311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,grasp,hand,1,1338192189,0.208,5.708,11,21,695.006311,697.006311,702.714274,702.714274,704.714274,712.714274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
