trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,grasp,hand,1,1444089229,0.2129,5.7129,6,18,10,12,17.712909,17.712909,19.712909,27.712909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,grasp,hand,1,1444089229,-0.4317,5.0683,6,18,27.712909,29.712909,34.781205,34.781205,36.781205,44.781205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,grasp,hand,1,1444089229,0.2925,5.7925,6,18,44.781205,46.781205,52.573726,52.573726,54.573726,62.573726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,touch,hand,1,1444089229,-0.402,5.098,10,34,62.573726,64.573726,69.671737,69.671737,71.671737,79.671737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,grasp,hand,1,1444089229,-0.1434,5.3566,6,18,79.671737,81.671737,87.028322,87.028322,89.028322,97.028322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,touch,hand,1,1444089229,-0.3246,5.1754,10,34,97.028322,99.028322,104.203701,104.203701,106.203701,114.203701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,grasp,hand,1,1444089229,-0.2965,5.2035,6,18,114.203701,116.203701,121.407222,121.407222,123.407222,131.407222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,touch,hand,1,1444089229,0.4874,5.9874,10,34,131.407222,133.407222,139.394658,139.394658,141.394658,149.394658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,touch,hand,1,1444089229,-0.0642,5.4358,10,34,149.394658,151.394658,156.830506,156.830506,158.830506,166.830506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,grasp,hand,1,1444089229,0.3195,5.8195,6,18,166.830506,168.830506,174.650033,174.650033,176.650033,184.650033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,touch,hand,1,1444089229,-0.425,5.075,10,34,184.650033,186.650033,191.725,191.725,193.725,201.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,touch,hand,1,1444089229,-0.0978,5.4022,10,34,201.725,203.725,209.1272,209.1272,211.1272,219.1272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,touch,hand,1,1444089229,0.268,5.768,10,34,219.1272,221.1272,226.895202,226.895202,228.895202,236.895202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,grasp,hand,1,1444089229,0.4092,5.9092,6,18,236.895202,238.895202,244.804436,244.804436,246.804436,254.804436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,touch,hand,1,1444089229,0.0278,5.5278,10,34,254.804436,256.804436,262.332219,262.332219,264.332219,272.332219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,grasp,hand,1,1444089229,0.1541,5.6541,6,18,272.332219,274.332219,279.986278,279.986278,281.986278,289.986278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,grasp,hand,1,1444089229,0.1583,5.6583,6,18,289.986278,291.986278,297.644573,297.644573,299.644573,307.644573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,grasp,hand,1,1444089229,-0.3816,5.1184,6,18,307.644573,309.644573,314.762952,314.762952,316.762952,324.762952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,touch,hand,1,1444089229,-0.0737,5.4263,10,34,324.762952,326.762952,332.189226,332.189226,334.189226,342.189226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,touch,hand,1,1444089229,-0.4271,5.0729,10,34,342.189226,344.189226,349.262086,349.262086,351.262086,359.262086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
