trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,touch,hand,1,1338115316,0.4731,5.9731,12,22,10,12,17.973107,17.973107,19.973107,27.973107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,touch,hand,1,1338115316,0.4037,5.9037,12,22,27.973107,29.973107,35.876776,35.876776,37.876776,45.876776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,grasp,hand,1,1338115316,-0.4252,5.0748,11,21,45.876776,47.876776,52.95159,52.95159,54.95159,62.95159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,touch,hand,1,1338115316,0.2849,5.7849,12,22,62.95159,64.95159,70.736449,70.736449,72.736449,80.736449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,touch,hand,1,1338115316,0.4583,5.9583,12,22,80.736449,82.736449,88.694708,88.694708,90.694708,98.694708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,touch,hand,1,1338115316,0.3316,5.8316,12,22,98.694708,100.694708,106.526339,106.526339,108.526339,116.526339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,grasp,hand,1,1338115316,0.0013,5.5013,11,21,116.526339,118.526339,124.027688,124.027688,126.027688,134.027688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,touch,hand,1,1338115316,-0.0962,5.4038,12,22,134.027688,136.027688,141.431452,141.431452,143.431452,151.431452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,grasp,hand,1,1338115316,-0.4353,5.0647,11,21,151.431452,153.431452,158.496143,158.496143,160.496143,168.496143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,grasp,hand,1,1338115316,0.3197,5.8197,11,21,168.496143,170.496143,176.315814,176.315814,178.315814,186.315814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,touch,hand,1,1338115316,0.4096,5.9096,12,22,186.315814,188.315814,194.225416,194.225416,196.225416,204.225416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,touch,hand,1,1338115316,-0.4735,5.0265,12,22,204.225416,206.225416,211.251899,211.251899,213.251899,221.251899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,grasp,hand,1,1338115316,0.1454,5.6454,11,21,221.251899,223.251899,228.897264,228.897264,230.897264,238.897264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,touch,hand,1,1338115316,0.2335,5.7335,12,22,238.897264,240.897264,246.630759,246.630759,248.630759,256.630759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,touch,hand,1,1338115316,-0.4208,5.0792,12,22,256.630759,258.630759,263.709958,263.709958,265.709958,273.709958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,grasp,hand,1,1338115316,0.2012,5.7012,11,21,273.709958,275.709958,281.411137,281.411137,283.411137,291.411137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,grasp,hand,1,1338115316,0.0393,5.5393,11,21,291.411137,293.411137,298.95045,298.95045,300.95045,308.95045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,grasp,hand,1,1338115316,-0.1845,5.3155,11,21,308.95045,310.95045,316.265917,316.265917,318.265917,326.265917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
